"filename", "language", "Python", "XML", "comment", "blank", "total"
"c:\Users\kevin\Downloads\backen-valand-main\backen-valand-main\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 6, 0, 0, 6
"c:\Users\kevin\Downloads\backen-valand-main\backen-valand-main\.idea\misc.xml", "XML", 0, 6, 0, 0, 6
"c:\Users\kevin\Downloads\backen-valand-main\backen-valand-main\.idea\modules.xml", "XML", 0, 8, 0, 0, 8
"c:\Users\kevin\Downloads\backen-valand-main\backen-valand-main\.idea\valandtickets-backoffice.iml", "XML", 0, 20, 0, 0, 20
"c:\Users\kevin\Downloads\backen-valand-main\backen-valand-main\.idea\vcs.xml", "XML", 0, 6, 0, 0, 6
"c:\Users\kevin\Downloads\backen-valand-main\backen-valand-main\.idea\workspace.xml", "XML", 0, 95, 0, 0, 95
"c:\Users\kevin\Downloads\backen-valand-main\backen-valand-main\app.py", "Python", 140, 0, 1, 33, 174
"c:\Users\kevin\Downloads\backen-valand-main\backen-valand-main\models.py", "Python", 22, 0, 0, 1, 23
"Total", "-", 162, 141, 1, 34, 338
